Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 18:00,LONGIL,61762,26.04,2.8,-5.86
02/01/2020 18:00,MHK VL,61756,17.99,0.61,0
02/01/2020 18:00,MILLWD,61759,19.43,2.05,0
02/01/2020 18:00,N.Y.C.,61761,23.17,2.4,-3.39
02/01/2020 18:00,NORTH,61755,16.74,-0.64,0
02/01/2020 18:00,NPX,61845,23.08,1.91,-3.79
02/01/2020 18:00,O H,61846,16.62,-0.76,0
02/01/2020 18:00,PJM,61847,18.29,0.89,-0.02
02/01/2020 18:00,WEST,61752,17.12,-0.26,0
02/01/2020 19:00,CAPITL,61757,17.94,1.25,0
02/01/2020 19:00,CENTRL,61754,16.92,0.23,0
02/01/2020 19:00,DUNWOD,61760,18.81,2.12,0
02/01/2020 19:00,GENESE,61753,16.39,-0.3,0
02/01/2020 19:00,H Q,61844,16.17,-0.52,0
02/01/2020 19:00,HUD VL,61758,18.53,1.84,0
02/01/2020 19:00,LONGIL,61762,23.92,2.65,-4.57
02/01/2020 19:00,MHK VL,61756,17.24,0.55,0
02/01/2020 19:00,MILLWD,61759,18.67,1.99,0
02/01/2020 19:00,N.Y.C.,61761,23,2.32,-3.99
02/01/2020 19:00,NORTH,61755,16.1,-0.58,0
02/01/2020 19:00,NPX,61845,20.3,1.85,-1.76
02/01/2020 19:00,O H,61846,15.89,-0.8,0
02/01/2020 19:00,PJM,61847,17.54,0.83,-0.02
02/01/2020 19:00,WEST,61752,16.36,-0.33,0
02/01/2020 20:00,CAPITL,61757,16.99,1.16,0
02/01/2020 20:00,CENTRL,61754,16.07,0.24,0
02/01/2020 20:00,DUNWOD,61760,17.84,2.01,0
02/01/2020 20:00,GENESE,61753,15.58,-0.25,0
02/01/2020 20:00,H Q,61844,15.34,-0.49,0
02/01/2020 20:00,HUD VL,61758,17.54,1.71,0
02/01/2020 20:00,LONGIL,61762,23.93,2.49,-5.61
02/01/2020 20:00,MHK VL,61756,16.34,0.51,0
02/01/2020 20:00,MILLWD,61759,17.71,1.88,0
02/01/2020 20:00,N.Y.C.,61761,21.06,2.2,-3.03
02/01/2020 20:00,NORTH,61755,15.26,-0.57,0
02/01/2020 20:00,NPX,61845,18.35,1.76,-0.76
02/01/2020 20:00,O H,61846,15.13,-0.7,0
02/01/2020 20:00,PJM,61847,16.72,0.81,-0.08
02/01/2020 20:00,WEST,61752,15.56,-0.27,0
02/01/2020 21:00,CAPITL,61757,15.07,1.02,0
02/01/2020 21:00,CENTRL,61754,14.25,0.21,0
02/01/2020 21:00,DUNWOD,61760,15.76,1.71,0
02/01/2020 21:00,GENESE,61753,13.8,-0.24,0
02/01/2020 21:00,H Q,61844,13.59,-0.45,0
02/01/2020 21:00,HUD VL,61758,15.5,1.46,0
02/01/2020 21:00,LONGIL,61762,22.14,2.13,-5.96
02/01/2020 21:00,MHK VL,61756,14.44,0.39,0
02/01/2020 21:00,MILLWD,61759,15.66,1.61,0
02/01/2020 21:00,N.Y.C.,61761,20.39,1.88,-4.46
02/01/2020 21:00,NORTH,61755,13.51,-0.53,0
02/01/2020 21:00,NPX,61845,18.5,1.52,-2.94
02/01/2020 21:00,O H,61846,13.44,-0.6,0
02/01/2020 21:00,PJM,61847,14.94,0.7,-0.2
02/01/2020 21:00,WEST,61752,13.82,-0.23,0
02/01/2020 22:00,CAPITL,61757,13.43,0.9,0
02/01/2020 22:00,CENTRL,61754,12.73,0.2,0
02/01/2020 22:00,DUNWOD,61760,14,1.48,0
02/01/2020 22:00,GENESE,61753,12.36,-0.16,0
02/01/2020 22:00,H Q,61844,12.12,-0.4,0
02/01/2020 22:00,HUD VL,61758,13.78,1.25,0
02/01/2020 22:00,LONGIL,61762,20.2,1.92,-5.76
02/01/2020 22:00,MHK VL,61756,12.85,0.33,0
02/01/2020 22:00,MILLWD,61759,13.9,1.38,0
02/01/2020 22:00,N.Y.C.,61761,14.58,1.64,-0.41
02/01/2020 22:00,NORTH,61755,12.02,-0.5,0
02/01/2020 22:00,NPX,61845,18,1.31,-4.16
02/01/2020 22:00,O H,61846,12.1,-0.43,0
02/01/2020 22:00,PJM,61847,13.2,0.65,-0.03
02/01/2020 22:00,WEST,61752,12.43,-0.1,0
02/01/2020 23:00,CAPITL,61757,14.9,0.62,-4.47
02/01/2020 23:00,CENTRL,61754,10.52,0.15,-0.56
02/01/2020 23:00,DUNWOD,61760,14.14,1.07,-3.26
02/01/2020 23:00,GENESE,61753,10.07,-0.16,-0.42
02/01/2020 23:00,H Q,61844,9.53,-0.28,0
02/01/2020 23:00,HUD VL,61758,13.95,0.89,-3.25
02/01/2020 23:00,LONGIL,61762,19.3,1.44,-8.05
02/01/2020 23:00,MHK VL,61756,10.65,0.24,-0.6
02/01/2020 23:00,MILLWD,61759,14.1,0.98,-3.31
02/01/2020 23:00,N.Y.C.,61761,14.59,1.2,-3.58
02/01/2020 23:00,NORTH,61755,9.5,-0.31,0
02/01/2020 23:00,NPX,61845,17,0.94,-6.25
02/01/2020 23:00,O H,61846,10,-0.34,-0.53
02/01/2020 23:00,PJM,61847,12.31,0.47,-2.03
02/01/2020 23:00,WEST,61752,10.23,-0.12,-0.54
02/02/2020 00:00,CAPITL,61757,19.51,0.64,-7.8
02/02/2020 00:00,CENTRL,61754,12.22,0.18,-0.98
02/02/2020 00:00,DUNWOD,61760,17.77,1.02,-5.68
02/02/2020 00:00,GENESE,61753,11.58,-0.21,-0.72
02/02/2020 00:00,H Q,61844,10.73,-0.34,0
02/02/2020 00:00,HUD VL,61758,17.6,0.86,-5.67
02/02/2020 00:00,LONGIL,61762,18.16,1.41,-5.69
02/02/2020 00:00,MHK VL,61756,12.39,0.29,-1.04
02/02/2020 00:00,MILLWD,61759,17.78,0.95,-5.76
02/02/2020 00:00,N.Y.C.,61761,17.92,1.17,-5.68
02/02/2020 00:00,NORTH,61755,10.64,-0.43,0
02/02/2020 00:00,NPX,61845,18.31,0.9,-6.35
02/02/2020 00:00,O H,61846,11.48,-0.52,-0.93
02/02/2020 00:00,PJM,61847,14.92,0.35,-3.5
02/02/2020 00:00,WEST,61752,11.68,-0.32,-0.93
02/02/2020 01:00,CAPITL,61757,17.55,0.61,-6.46
02/02/2020 01:00,CENTRL,61754,11.45,0.16,-0.81
02/02/2020 01:00,DUNWOD,61760,16.12,0.93,-4.7
02/02/2020 01:00,GENESE,61753,10.88,-0.2,-0.6
02/02/2020 01:00,H Q,61844,10.17,-0.31,0
02/02/2020 01:00,HUD VL,61758,15.98,0.81,-4.69
02/02/2020 01:00,LONGIL,61762,16.52,1.33,-4.7
02/02/2020 01:00,MHK VL,61756,11.6,0.25,-0.86
02/02/2020 01:00,MILLWD,61759,16.13,0.88,-4.77
02/02/2020 01:00,N.Y.C.,61761,16.27,1.08,-4.71
02/02/2020 01:00,NORTH,61755,10.08,-0.41,0
02/02/2020 01:00,NPX,61845,19.01,0.85,-7.68
02/02/2020 01:00,O H,61846,10.77,-0.48,-0.77
02/02/2020 01:00,PJM,61847,13.71,0.33,-2.9
02/02/2020 01:00,WEST,61752,10.97,-0.28,-0.77
02/02/2020 02:00,CAPITL,61757,13.88,0.6,-3.01
02/02/2020 02:00,CENTRL,61754,10.8,0.14,-0.38
02/02/2020 02:00,DUNWOD,61760,13.36,0.89,-2.19
02/02/2020 02:00,GENESE,61753,10.35,-0.21,-0.28
02/02/2020 02:00,H Q,61844,9.97,-0.31,0
02/02/2020 02:00,HUD VL,61758,13.24,0.78,-2.19
02/02/2020 02:00,LONGIL,61762,15.86,1.28,-4.3
02/02/2020 02:00,MHK VL,61756,10.92,0.25,-0.4
02/02/2020 02:00,MILLWD,61759,13.34,0.84,-2.22
02/02/2020 02:00,N.Y.C.,61761,13.5,1.03,-2.2
02/02/2020 02:00,NORTH,61755,9.87,-0.4,0
02/02/2020 02:00,NPX,61845,19.02,0.82,-7.92
02/02/2020 02:00,O H,61846,10.18,-0.45,-0.36
02/02/2020 02:00,PJM,61847,11.94,0.32,-1.35
02/02/2020 02:00,WEST,61752,10.38,-0.26,-0.36
02/02/2020 03:00,CAPITL,61757,14.03,0.57,-3.45
02/02/2020 03:00,CENTRL,61754,10.58,0.14,-0.43
02/02/2020 03:00,DUNWOD,61760,13.39,0.87,-2.51
02/02/2020 03:00,GENESE,61753,10.14,-0.19,-0.32
02/02/2020 03:00,H Q,61844,9.71,-0.3,0
02/02/2020 03:00,HUD VL,61758,13.28,0.76,-2.5
02/02/2020 03:00,LONGIL,61762,15.86,1.25,-4.6
02/02/2020 03:00,MHK VL,61756,10.69,0.22,-0.46
02/02/2020 03:00,MILLWD,61759,13.39,0.83,-2.55
02/02/2020 03:00,N.Y.C.,61761,13.54,1.01,-2.51
02/02/2020 03:00,NORTH,61755,9.62,-0.39,0
02/02/2020 03:00,NPX,61845,18.7,0.8,-7.89
02/02/2020 03:00,O H,61846,10,-0.42,-0.41
02/02/2020 03:00,PJM,61847,11.87,0.31,-1.55
02/02/2020 03:00,WEST,61752,10.18,-0.24,-0.41
02/02/2020 04:00,CAPITL,61757,14.08,0.59,-3.49
02/02/2020 04:00,CENTRL,61754,10.59,0.15,-0.44
02/02/2020 04:00,DUNWOD,61760,13.41,0.86,-2.54
02/02/2020 04:00,GENESE,61753,10.14,-0.19,-0.32
02/02/2020 04:00,H Q,61844,9.71,-0.3,0
02/02/2020 04:00,HUD VL,61758,13.29,0.75,-2.53
02/02/2020 04:00,LONGIL,61762,15.18,1.24,-3.93
02/02/2020 04:00,MHK VL,61756,10.7,0.23,-0.46
02/02/2020 04:00,MILLWD,61759,13.39,0.81,-2.57
02/02/2020 04:00,N.Y.C.,61761,13.55,1,-2.54
02/02/2020 04:00,NORTH,61755,9.62,-0.39,0
02/02/2020 04:00,NPX,61845,18.7,0.8,-7.89
02/02/2020 04:00,O H,61846,10,-0.42,-0.41
02/02/2020 04:00,PJM,61847,11.88,0.31,-1.56
02/02/2020 04:00,WEST,61752,10.18,-0.24,-0.42
02/02/2020 05:00,CAPITL,61757,14.05,0.59,-3.45
02/02/2020 05:00,CENTRL,61754,10.59,0.15,-0.43
02/02/2020 05:00,DUNWOD,61760,13.39,0.87,-2.51
02/02/2020 05:00,GENESE,61753,10.14,-0.19,-0.32
02/02/2020 05:00,H Q,61844,9.71,-0.3,0
02/02/2020 05:00,HUD VL,61758,13.27,0.75,-2.5
02/02/2020 05:00,LONGIL,61762,16.44,1.24,-5.19
02/02/2020 05:00,MHK VL,61756,10.69,0.22,-0.46
02/02/2020 05:00,MILLWD,61759,13.36,0.8,-2.55
02/02/2020 05:00,N.Y.C.,61761,13.53,1,-2.51
02/02/2020 05:00,NORTH,61755,9.63,-0.38,0
